loc x,lox y,split,wid,vddiddq,power,freq,psro,pw40,ps40,ivd0,ivd1,ivd2,ivd3,ivio,ivsb,ivsr,frq00,frq0,frq6,frq9,frq12,frq15,frq18,frq21,frq24,frq27,frq30,frq33,frq36,frw39,frq57,frq58,tstclass
5,5,5,1,6.98761034,41.48139572,1.249869237,8.000836972,77.81288147,9.228515521,5.930191517,5.341427326,5.529405117,5.137871265,0.626750052,0.02602673,7.103125572,8.422434462,8.010255797,8.043424401,8.098841747,8.010255797,8.431847945,7.853191676,7.853191676,8.043424401,8.215646531,7.628814913,7.809150318,7.788953312,7.776947172,12.91847815,20.57065524,1
10,3,5,8,11.116395,65.26425171,1.298550722,7.700892875,148.7690735,8.179407672,10.11973953,7.877444267,10.23961353,8.75121212,1.027733207,0.036309961,8.858041763,7.853191676,7.556845134,7.561478441,7.984655667,7.734061924,8.257995845,7.633836731,7.602615114,7.660404535,7.930946438,7.447615474,7.665316616,7.348858418,7.571646776,11.9398062,20.73755627,3
7,7,5,9,7.334132195,43.40463257,1.190697699,8.398437328,91.50914764,8.860212043,7.13547802,5.884935856,5.164527416,4.783945561,0.6748932,0.031699423,7.37871933,8.648844116,8.098841747,8.588899874,8.344016294,8.659735713,8.863732575,8.207575931,8.300782994,8.466762907,8.588899874,8.043424401,8.1659133,8.224082364,8.326669104,12.76188789,24.81618776,1
6,11,5,1,8.564721108,52.55700684,1.248562923,8.00920788,98.57810974,8.48632796,9.984633446,11.2209816,4.004119396,4.144197941,0.670306265,0.046302084,7.989245892,8.353255751,7.416903742,8.407124597,7.490478552,8.397220626,8.378567131,7.692256858,8.173730066,8.091167416,8.224082364,7.5926596,7.561478441,8.124671325,8.181907077,12.86670926,21.38478493,1
4,7,3,2,2.959399462,19.25025177,1.033895801,9.67215457,36.39799118,10.15067024,1.711973429,1.57957387,1.602925539,1.506308794,0.294814855,0.016601088,6.864282131,9.971187183,9.314250747,9.809054689,9.53601878,9.849839984,10.33581404,9.479593302,9.553723999,9.768604144,10.05428078,9.352819149,9.368720924,9.368720924,9.53601878,16.01720842,31.80234137,2
12,5,5,3,5.282049179,31.76447868,1.210197489,8.263114151,,,4.457683086,3.760437489,4.253057003,3.776645184,0.58059746,0.022525551,5.886297226,8.431847945,8.076869563,8.181907077,8.466762907,8.344016294,8.802479258,8.124671325,8.173730066,8.292190316,8.476461261,7.996900123,8.124671325,7.996900123,8.124671325,12.73594913,23.08362576,1
2,4,3,6,3.392994881,20.93697929,1.073214507,9.317801739,38.21496582,9.762834638,1.959903956,1.693625689,1.936866999,1.847645998,0.352753431,0.018221857,6.862134457,9.553723999,9.154577896,9.24531534,9.402049699,9.000287108,9.788171553,9.264496455,9.352819149,9.479593302,9.496856251,9.192485663,9.330244524,9.037555302,9.051136544,16.76653611,26.42300314,2
10,3,3,7,3.359265566,20.59862328,1.079518156,9.263392137,38.0764389,9.767020526,1.87584424,1.718330622,1.71099782,1.72959733,0.334665328,0.017466547,6.994101048,9.541873595,9.037555302,9.102563482,9.462852432,9.24531534,9.890967789,9.147249401,9.16937843,9.24531534,9.502198964,8.974299021,9.24531534,8.950006858,9.065181672,15.82474107,27.20855707,2
7,2,3,4,3.701751471,22.79166222,1.089196125,9.181082977,43.68173981,9.698661145,2.245662928,1.956095934,2.059951067,1.87659955,0.375184596,0.019402029,7.435273171,9.330244524,9.065181672,9.011770061,9.44066133,9.207190871,9.669526747,9.102563482,9.102563482,9.154577896,9.407514341,8.876796173,9.178260413,8.876796173,9.037555302,15.57790662,27.06356116,2
10,4,5,5,8.148191452,47.86184692,1.252052376,7.986886326,103.4572525,8.489118263,6.866430283,6.12106514,7.03999424,5.994141102,0.755089879,0.029842619,7.466500282,8.148443627,7.944732744,7.853191676,8.224082364,8.017446845,8.648844116,7.930946438,7.905206644,7.930946438,8.207575931,7.660404535,7.859467701,7.628814913,7.837033294,12.61068579,20.82202877,1
10,9,5,1,6.804872513,41.0810318,1.264643528,7.907366602,88.74371338,8.398437328,6.54095459,5.348067761,6.029232025,4.168147564,0.701045811,0.026152615,6.742393971,8.010255797,7.628814913,7.918499136,7.918499136,8.148443627,8.466762907,7.827322747,7.88571073,7.814883759,8.050508484,7.588136029,7.782789794,7.660404535,7.937671384,12.46462355,20.95794429,1
